attraction_id,attraction_name,nearest_station_id,nearest_station_name,distance_to_station_m,access_walk_time_min,pressure_score
P0263,Ministry of Justice Museum,Y17,Sakuradamon,205.2,3.42,0.562723
P0264,Yoshida Hochiku Memorial Hall,H05,Kamiyacho,295.7,4.9283,0.481818
P0265,Tokyo Waterworks Historical Museum,M21,HongoSanchome,380.7,6.345,0.561955
P0266,Soy Sauce Centre (Shoyu Kaikan),Z10,Suitengumae,300.3,5.005,0.454545
P0267,21_21 Design Sight,C05,Nogizaka,388.8,6.48,0.561525
P0268,Hyokeikan,G16,Ueno,754.5,12.575,0.561058
P0269,Musée Hamaguchi Yōzō: Yamasa Collection,Z10,Suitengumae,161.4,2.69,0.560961
P0270,Musée Hamaguchi Yōzō: Yamasa Collection,Z10,Suitengumae,162.0,2.7,0.560961
P0271,Advertising Museum Tokyo,G08,Shimbashi,490.2,8.17,0.560823
P0272,Mohri Garden,H04,Roppongi,277.2,4.62,0.560734
P0273,Tokyo kart,G19,Asakusa,312.5,5.2083,0.560349
P0274,Old Shimbashi Station Railway History Exhibition Hall,G08,Shimbashi,323.0,5.3833,0.560242
P0275,Pigeon house,Z06,Kudanshita,649.1,10.8183,0.454545
P0276,The Watari Museum Contemporary Art,G03,Gaiemmae,404.4,6.74,0.559639
P0277,Taikokan Drum Museum,G18,Tawaramachi,249.5,4.1583,0.559629
P0278,Edogawa Zoo,T16,NishiKasai,729.7,12.1617,0.559509
P0279,Natsume Soseki Memorial Museum,T04,Waseda,352.4,5.8733,0.559262
P0280,Marunouchi House,M17,Tokyo,58.2,0.97,0.558749
P0281,Okuma Auditorium,T04,Waseda,367.0,6.1167,0.558318
P0282,梅園,C13,Yushima,211.7,3.5283,0.445455
P0283,Parliamentary Museum,M14,KokkaiGijidomae,405.0,6.75,0.557761
P0284,Front of Nijūbashi,Y17,Sakuradamon,400.5,6.675,0.557248
P0285,東京都目黒区立 川の資料館,H01,NakaMeguro,438.6,7.31,0.556446
P0286,Roof Garden,H12,Hatchobori,246.9,4.115,0.555766
P0287,"The Museum of the Imperial Collections, Sannomaru Shozokan",C11,Otemachi,417.2,6.9533,0.555234
P0288,たもん,M01,Ogikubo,182.3,3.0383,0.445455
P0289,Meiji Jingu Treasure Museum,F14,KitaSando,693.4,11.5567,0.554306
P0290,Silk Road cosmetic Ueno,G15,UenoHirokoji,157.8,2.63,0.554133
P0291,La Porte Aoyama,C04,OmoteSando,355.3,5.9217,0.554028
P0292,"Memorial Museum for Soldiers, Detainees in Siberia, and Postwar Repatriates",M07,NishiShinjuku,361.8,6.03,0.553813
P0293,Kachidoki Bridge,H11,Tsukiji,602.7,10.045,0.553374
P0294,Tokyo mystery circus,M08,Shinjuku,327.7,5.4617,0.553262
P0295,Aqua Park Shinagawa,N02,Shirokanedai,1373.9,22.8983,0.553208
P0296,Aqua Park Shinagawa,N02,Shirokanedai,1390.0,23.1667,0.553208
P0297,aquarium de carpe,N16,Oji,1304.9,21.7483,0.4
P0298,Shibusawa Memorial Museum,N15,Nishigahara,449.8,7.4967,0.553036
P0299,Daigo Fukuryu Maru Museum,Y24,ShinKiba,576.2,9.6033,0.552922
P0300,Min-On Music Library,M11,YotsuyaSanchome,612.6,10.21,0.552691
P0301,Shibuya Blue Cave Winter Illumination,C03,MeijiJingumae,620.3,10.3383,0.552601
P0302,Okuma Garden,T04,Waseda,432.5,7.2083,0.552516
P0303,Oyokogawa Shinsui Park (Long Slide),Z14,Oshiage,542.2,9.0367,0.552279
P0304,Stamp Museum,T03,Takadanobaba,558.6,9.31,0.552189
P0305,Matsuoka Museum of Art,N02,Shirokanedai,443.7,7.395,0.551916
P0306,Ancient Orient Museum,Y10,HigashiIkebukuro,363.0,6.05,0.551855
P0307,Kita City Asukayama Museum,N15,Nishigahara,498.8,8.3133,0.551763
P0308,Okura Museum of Art (Okura Shukokan),H06,ToranomonHills,410.5,6.8417,0.551482
P0309,SHIBUYA CAST. GARDEN,Z01,Shibuya,388.3,6.4717,0.551352
P0310,Train viewpoint,F13,ShinjukuSanchome,444.3,7.405,0.454545
P0311,Paper Museum,N16,Oji,524.6,8.7433,0.550775
P0312,Caretta Shiodome Observation Deck 46th floor,G08,Shimbashi,510.9,8.515,0.550376
P0313,Japanese Animals,G16,Ueno,519.9,8.665,0.550241
P0314,Life safety learning center,Y09,Ikebukuro,379.7,6.3283,0.550172
P0315,Street Kart Tokyo Bay,Y24,ShinKiba,866.9,14.4483,0.550075
P0316,Panda Forest,C14,Nezu,507.4,8.4567,0.454545
P0317,Shiseido Gallery,G08,Shimbashi,333.4,5.5567,0.549221
P0318,Ichiyo Memorial Museum,H20,Minowa,440.7,7.345,0.548667
P0319,Kikuchi Kanjitsu Memorial Tomo Museum,H06,ToranomonHills,316.2,5.27,0.548629
P0320,Otani Art Museum,N15,Nishigahara,448.0,7.4667,0.548402
P0321,万世橋駅 跡地,M19,Awajicho,350.8,5.8467,0.548014
P0322,SkyTree sunset viewpoint,Z14,Oshiage,861.0,14.35,0.547588
P0323,Hayashi Fumiko Memorial Hall,T02,Ochiai,599.5,9.9917,0.547333
P0324,Himalayan Cedar Tree,C14,Nezu,488.1,8.135,0.454545
P0325,Your Name (Kimi no na wa.) Stairs,M11,YotsuyaSanchome,475.1,7.9183,0.546577
P0326,Joyful Minowa Shopping Arcade Entrance,H20,Minowa,317.7,5.295,0.546447
P0327,World Bags & Luggage Museum,G19,Asakusa,372.5,6.2083,0.546273
